"year", "AnnualMean"
1969, 7.00952028966667
1970, 7.10603174591667
1971, 7.7615841015
1972, 7.644876715
1973, 8.52621863825
1974, 8.41101126508333
1975, 8.18505888333333
1976, 7.159519528
1977, 8.24728494641667
1978, 7.11956349166667
1979, 7.24782066066667
1980, 6.90007539241667
1981, 7.50165642575
1982, 7.72722926291667
1983, 7.23270481358333
1984, 7.6538283125
1985, 8.22494861416667
1986, 7.84012470516667
1987, 7.51159633041667
1988, 8.16769969308333
1989, 8.03105184333333
1990, 8.38003150008333
1991, 7.40123790316667
1992, 7.91066782225
1993, 7.96806845033333
1994, 8.61512900691667
1995, 8.29730570283333
1996, 7.78753790358333
1997, 7.87170677591667
1998, 8.2891554715
1999, 8.91876093741667
2000, 8.99126316266667
2001, 8.888398105
2002, 8.90637668866667
2003, 8.140136969
2004, 8.00062774716667
2005, 8.06083563775
2006, 8.226204557
2007, 8.69275473625
2008, 9.32541666666667
2009, 9.30013888891667
2010, 9.15166666666667
