var,mean,sd,pattern
Oct,17.1,11.00868344,wet
Nov,34.9,47.67589654,wet
Dec,45.63333333,37.6257595,wet
Jan,45.11111111,46.25159323,wet
Feb,51.22222222,30.79602347,wet
Mar,37,30.09614224,wet
Apr,41.55555556,21.08770632,wet
May,50.11111111,27.8665249,wet
Jun,41.44444444,21.29220573,wet
Jul,42,30.79682523,wet
Aug,36,35.94440151,wet
Sep,15,8.137703744,wet
Oct,13.24,13.83945086,spring spates
Nov,14.18,14.52837224,spring spates
Dec,70.26,53.25322901,spring spates
Jan,72,34.36771741,spring spates
Feb,63.38,33.0567633,spring spates
Mar,180.38,78.00380504,spring spates
Apr,143.92,82.28179386,spring spates
May,38.18,12.3348936,spring spates
Jun,27.6,17.45348103,spring spates
Jul,19.1,12.98568443,spring spates
Aug,24.02,34.88377273,spring spates
Sep,10.72,11.00098177,spring spates
Oct,6.75,5.772059136,dry
Nov,9.322666667,6.057852718,dry
Dec,15.92333333,13.79848043,dry
Jan,38.42266667,52.31568222,dry
Feb,27.608,32.97964609,dry
Mar,35.6,23.87252898,dry
Apr,28.92866667,24.49313669,dry
May,28.93733333,24.1892713,dry
Jun,18.38933333,15.47919355,dry
Jul,10.50733333,6.945865405,dry
Aug,12.39066667,12.21316637,dry
Sep,5.346666667,3.001025751,dry
Oct,41.73846154,104.5760181,aseasonal
Nov,28.23307692,42.14975963,aseasonal
Dec,60.95615385,92.17007845,aseasonal
Jan,112.95,177.6839533,aseasonal
Feb,81.27,77.72114988,aseasonal
Mar,84.86692308,55.45720504,aseasonal
Apr,107.8338462,132.3155186,aseasonal
May,66.16923077,59.75966938,aseasonal
Jun,52.76,60.02738747,aseasonal
Jul,17.79615385,8.180185759,aseasonal
Aug,14.03230769,7.584521844,aseasonal
Sep,9.493076923,5.332278175,aseasonal
